city,country,lat,lng,alliance
Dundaga,Latvia,57.516667,22.35,USSR
Ezere parish,Latvia,56.416667,22.35,USSR
Gluda,Latvia,56.616667,23.5,USSR
Gulbene,Latvia,57.166667,26.766667,USSR
Jelgava,Latvia,56.666667,23.7,USSR
Krustpils,Latvia,56.55,25.916667,USSR
Lepaya E.,Latvia,56.516667,21.083333,USSR
Liepaja,Latvia,56.533333,21.016667,USSR
Riga,Latvia,56.883333,24.216667,USSR
Riga,Latvia,56.983333,24.083333,USSR
Riga W.,Latvia,56.916667,23.983333,USSR
Salaspils,Latvia,56.866667,24.333333,USSR
Targale,Latvia,57.333333,21.65,USSR
Tukums,Latvia,56.95,23.216667,USSR
Vainode,Latvia,56.416667,21.883333,USSR
Ventspils,Latvia,57.366667,21.55,USSR
"Krustpils, N.E.",Latvia,56.56667,25.95,USSR
Alytus,Lithuania,54.416667,24.05,USSR
Jonava ,Lithuania,55.083333,24.283333,USSR
Karmelava,Lithuania,54.966667,24.083333,USSR
Kaunas,Lithuania,54.883333,23.883333,USSR
Kaunas,Lithuania,54.883333,23.916667,USSR
Klaipeda,Lithuania,55.7,21.166667,USSR
Kropilai,Lithuania,55.316667,23.95,USSR
Marijampole,Lithuania,54.566667,23.383333,USSR
Palanga,Lithuania,55.933333,21.05,USSR
Paliepgiria,Lithuania,55.966667,21.1,USSR
Panevezys,Lithuania,55.733333,24.466667,USSR
Prienai,Lithuania,54.65,24.05,USSR
Siauliai,Lithuania,55.9,23.383333,USSR
Siauliai N.,Lithuania,55.983333,23.35,USSR
Siauliai W.,Lithuania,55.933333,23.116667,USSR
Sovetsk E.,Lithuania,55.083333,21.966667,USSR
Varena,Lithuania,54.266667,24.516667,USSR
Vilnius,Lithuania,54.633333,25.283333,USSR
Vilnius S.W.,Lithuania,54.616667,25.25,USSR
Vilnyus E.,Lithuania,54.666667,25.516667,USSR
Balti,Moldova,47.95,27.95,USSR
Chisniau,Moldova,47.05,28.866667,USSR
Lunga,Moldova,47.85,28.216667,USSR
Tiraspol,Moldova,46.866667,29.583333,USSR
Chongjin,North Korea,41.783333,129.75,ChinaDPRK
Namsi,North Korea,39.933333,125.2,ChinaDPRK
Puck Chang,North Korea,39.5,125.966667,ChinaDPRK
Pyongni,North Korea,39.416667,125.883333,ChinaDPRK
Pyongyang,North Korea,39.016667,125.85,ChinaDPRK
Saamcham,North Korea,39.75,125.9,ChinaDPRK
Sinuiju,North Korea,40.083333,124.416667,ChinaDPRK
Sunan,North Korea,39.2,125.666667,ChinaDPRK
Taechon,North Korea,39.9,125.5,ChinaDPRK
Uiju,North Korea,40.15,124.5,ChinaDPRK
Wonsan,North Korea,39.166667,127.483333,ChinaDPRK
Balice,Poland,50.083333,19.8,WarsawPact
Biala Podlaska,Poland,52.016667,23.15,WarsawPact
Brzeg,Poland,50.85,17.416667,WarsawPact
Bydgoszcz,Poland,53.1,17.966667,WarsawPact
Cewice,Poland,54.433333,17.75,WarsawPact
Ciechanow,Poland,52.833333,20.633333,WarsawPact
Deblin,Poland,51.55,21.883333,WarsawPact
Gdansk,Poland,54.4,18.6,WarsawPact
Gdynia,Poland,54.583333,18.516667,WarsawPact
Gliwice,Poland,50.266667,18.666667,WarsawPact
Gmina Babimost,Poland,52.15,15.816667,WarsawPact
Gmina Chojna,Poland,52.933333,14.416667,WarsawPact
Gmina Nowa Wies Leborska,Poland,54.65,17.733333,WarsawPact
Gmina Orneta,Poland,54.133333,20.1,WarsawPact
Gmina Terespol,Poland,52.033333,23.533333,WarsawPact
Gmina Ulez,Poland,51.616667,22.1,WarsawPact
Gross Stein,Poland,50.533333,18.1,WarsawPact
Grudziadz,Poland,53.466667,18.783333,WarsawPact
Jasionka,Poland,50.1,22.05,WarsawPact
Ketrzyn,Poland,54.066667,21.433333,WarsawPact
Konarzyny,Poland,53.816667,17.35,WarsawPact
Krakow,Poland,50.083333,20,WarsawPact
Krosno/Iwonicz,Poland,49.666667,21.816667,WarsawPact
Lask,Poland,51.55,19.166667,WarsawPact
Legnica,Poland,51.183333,16.183333,WarsawPact
Leznica Wielka,Poland,52,19.15,WarsawPact
Lodz,Poland,51.716667,19.4,WarsawPact
Malbork,Poland,54.033333,19.133333,WarsawPact
Mielec,Poland,50.316667,21.45,WarsawPact
Minsk Mazowiecki,Poland,52.2,21.65,WarsawPact
Nowe Miasto nad Pilic&#261;,Poland,51.633333,20.55,WarsawPact
Nowy Dwor Mazowiecki,Poland,52.45,20.666667,WarsawPact
O&#322;awa,Poland,50.983333,17.25,WarsawPact
Okecie,Poland,52.166667,20.966667,WarsawPact
Osla,Poland,51.316667,15.733333,WarsawPact
Penkuhl,Poland,53.866667,17,WarsawPact
Pila,Poland,53.166667,16.716667,WarsawPact
Podlodowka,Poland,51.633333,22.2,WarsawPact
Powidz,Poland,52.383333,17.833333,WarsawPact
Poznan,Poland,52.333333,16.966667,WarsawPact
Poznan/Lawica,Poland,52.41667,16.83333,WarsawPact
Preussisch Friedlano,Poland,53.533333,17.266667,WarsawPact
Pruszcz Gda&#324;ski,Poland,54.25,18.666667,WarsawPact
Przasnysz,Poland,53,20.933333,WarsawPact
Radom,Poland,51.383333,21.216667,WarsawPact
Radzyn Podlaski,Poland,51.75,22.633333,WarsawPact
Rudniki,Poland,50.883333,19.2,WarsawPact
Seeger,Poland,54.05,16.266667,WarsawPact
Simmatzig,Poland,53.783333,15.833333,WarsawPact
Slupsk,Poland,54.483333,17.1,WarsawPact
Sochaczew,Poland,52.183333,20.283333,WarsawPact
Spala Glinnik Nowy,Poland,51.583333,20.083333,WarsawPact
Stargard,Poland,53.283333,14.966667,WarsawPact
Swidnica,Poland,50.85,16.516667,WarsawPact
Szczytno,Poland,53.483333,20.95,WarsawPact
Szprotawa,Poland,51.566667,15.583333,WarsawPact
Torun,Poland,53.033333,18.55,WarsawPact
Vetzkerstrand,Poland,54.55,16.616667,WarsawPact
Warszawa,Poland,52.266667,20.916667,WarsawPact
Wilcze Laski,Poland,53.6,16.716667,WarsawPact
Wroclaw,Poland,51.1,16.916667,WarsawPact
Zagan,Poland,51.633333,15.4,WarsawPact
Zendek,Poland,50.483333,19.083333,WarsawPact
Gvardeysk,Poland,53.666667,21.1,WarsawPact
Dzhankoy,Republic of Crimea,45.683333,34.416667,USSR
Feodosiya,Republic of Crimea,45.066667,35.366667,USSR
Islam Terek,Republic of Crimea,45,35.183333,USSR
Karagoz,Republic of Crimea,45.066667,35.2,USSR
Karankut,Republic of Crimea,45.566667,34.283333,USSR
Kerch/Bagerovo,Republic of Crimea,45.4,36.266667,USSR
Kerch/Katerlez,Republic of Crimea,45.366667,36.4,USSR
North Kerch,Republic of Crimea,45.383333,36.5,USSR
Oktyabrskoye,Republic of Crimea,45.3,34.116667,USSR
Peschanoye,Republic of Crimea,44.85,33.616667,USSR
Saki,Republic of Crimea,45.083333,33.6,USSR
Sarabuz,Republic of Crimea,45.116667,33.983333,USSR
Simferopol,Republic of Crimea,44.933333,34.066667,USSR
Sovetskiy,Republic of Crimea,45.35,34.933333,USSR
Yevpatoriya,Republic of Crimea,45.216667,33.366667,USSR
Alexeni,Romania,44.7,26.733333,WarsawPact
Arad,Romania,46.183333,21.266667,WarsawPact
Balaci,Romania,44.366667,24.983333,WarsawPact
Borcea,Romania,44.4,27.733333,WarsawPact
Brasov,Romania,45.666667,25.616667,WarsawPact
Bucharest,Romania,44.5,26.083333,WarsawPact
Bucharest,Romania,44.483333,26.116667,WarsawPact
Buzau,Romania,45.13333333,26.8,WarsawPact
Caracal,Romania,44.083333,24.416667,WarsawPact
Caransebes,Romania,45.416667,22.233333,WarsawPact
Craiova,Romania,44.316667,23.883333,WarsawPact
Focsani,Romania,45.683333,27.2,WarsawPact
Ghimbav,Romania,45.7,25.533333,WarsawPact
Ianca,Romania,45.15,27.45,WarsawPact
Luizi - Calugara,Romania,46.533333,26.883333,WarsawPact
Mihail Kogalniceanu,Romania,44.35,28.483333,WarsawPact
Navodari,Romania,44.3,28.616667,WarsawPact
Otopeni,Romania,44.566667,26.083333,WarsawPact
Satu Mare,Romania,47.716667,22.883333,WarsawPact
Sibiu,Romania,45.783333,24.083333,WarsawPact
Targsoru Nou,Romania,44.916667,25.883333,WarsawPact
Tecuci,Romania,45.85,27.4,WarsawPact
Timsoara N.E.,Romania,45.8,21.316667,WarsawPact
Titu,Romania,44.65,25.616667,WarsawPact
